42900, [2, 4, 6, 8], []
5900, [2, 4, 6, 8], []
6000, [2, 4, 6, 8], []
6100, [2, 4, 6, 8], []
6200, [2, 4, 6, 8], []
6300, [2, 4, 6, 8], []
6400, [2, 4, 6, 8], []
6500, [2, 4, 6, 8], []
6600, [2, 4, 6, 8], []
6700, [2, 4, 6, 8], []
6800, [2, 4, 6, 8], []
6900, [2, 4, 6, 8], []
7000, [2, 4, 6, 8], []
7200, [2, 4, 6, 8], []
7200, [2, 4, 6, 8], []
7300, [2, 4, 6, 8], []
7400, [2, 4, 6, 8], []
7500, [2, 4, 6, 8], []
7600, [2, 4, 6, 8], []
7700, [2, 4, 6, 8], []
7800, [2, 4, 6, 8], []
7900, [2, 4, 6, 8], []
8000, [2, 4, 6, 8], []
8100, [2, 4, 6, 8], []
8200, [2, 4, 6, 8], []
8300, [2, 4, 6, 8], []
8400, [2, 4, 6, 8], []
8500, [2, 4, 6, 8], []
8600, [2, 4, 6, 8], []
8700, [2, 4, 6, 8], []
8800, [2, 4, 6, 8], []
9000, [2, 4, 6, 8], []
9000, [2, 4, 6, 8], []
9100, [2, 4, 6, 8], []
9200, [2, 4, 6, 8], []
9300, [2, 4, 6, 8], []
9400, [2, 4, 6, 8], []
9500, [2, 4, 6, 8], []
9600, [2, 4, 6, 8], []
9700, [2, 4, 6, 8], []
9800, [2, 4, 6, 8], []
9900, [2, 4, 6, 8], []
10000, [2, 4, 6, 8], []
10100, [2, 4, 6, 8], []
10200, [2, 4, 6, 8], []
10300, [2, 4, 6, 8], []
10400, [2, 4, 6, 8], []
10500, [2, 4, 6, 8], []
10600, [2, 4, 6, 8], []
45400, [2, 4, 6, 8], []
45500, [2, 4, 6, 8], []
45600, [2, 4, 6, 8], []
45700, [2, 4, 6, 8], []
45800, [2, 4, 6, 8], []
45900, [2, 4, 6, 8], []
46000, [2, 4, 6, 8], []
46100, [2, 4, 6, 8], []
46200, [2, 4, 6, 8], []
46300, [2, 4, 6, 8], []
46400, [2, 4, 6, 8], []
46500, [2, 4, 6, 8], []
46600, [2, 4, 6, 8], []
46700, [2, 4, 6, 8], []
46800, [2, 4, 6, 8], []
46900, [2, 4, 6, 8], []
47000, [2, 4, 6, 8], []
47100, [2, 4, 6, 8], []
47200, [2, 4, 6, 8], []
47300, [2, 4, 6, 8], []
47500, [2, 4, 6, 8], []
47500, [2, 4, 6, 8], []
47600, [2, 4, 6, 8], []
47700, [2, 4, 6, 8], []
47800, [2, 4, 6, 8], []
47900, [2, 4, 6, 8], []
48000, [2, 4, 6, 8], []
48100, [2, 4, 6, 8], []
48200, [2, 4, 6, 8], []
48300, [2, 4, 6, 8], []
48400, [2, 4, 6, 8], []
48600, [2, 4, 6, 8], []
48600, [2, 4, 6, 8], []
48700, [2, 4, 6, 8], []
48800, [2, 4, 6, 8], []
48900, [2, 4, 6, 8], []
49000, [2, 4, 6, 8], []
49100, [2, 4, 6, 8], []
49200, [2, 4, 6, 8], []
49300, [2, 4, 6, 8], []
49400, [2, 4, 6, 8], []
49500, [2, 4, 6, 8], []
49600, [2, 4, 6, 8], []
49700, [2, 4, 6, 8], []
49800, [2, 4, 6, 8], []
49900, [2, 4, 6, 8], []
50000, [2, 4, 6, 8], []
50100, [2, 4, 6, 8], []
50200, [2, 4, 6, 8], []
50300, [2, 4, 6, 8], []
50500, [2, 4, 6, 8], []
50500, [2, 4, 6, 8], []
50600, [2, 4, 6, 8], []
50700, [2, 4, 6, 8], []
50800, [2, 4, 6, 8], []
50900, [2, 4, 6, 8], []
51000, [2, 4, 6, 8], []
51100, [2, 4, 6, 8], []
51200, [2, 4, 6, 8], []
51300, [2, 4, 6, 8], []
51400, [2, 4, 6, 8], []
51500, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
51900, [2, 4, 6, 8], []
64900, [2, 4, 6, 8], []
65000, [2, 4, 6, 8], []
65100, [2, 4, 6, 8], []
65200, [2, 4, 6, 8], []
65300, [2, 4, 6, 8], []
65400, [2, 4, 6, 8], []
65500, [2, 4, 6, 8], []
65600, [2, 4, 6, 8], []
65700, [2, 4, 6, 8], []
65700, [2, 4, 6, 8], []
65800, [2, 4, 6, 8], []
65900, [2, 4, 6, 8], []
66000, [2, 4, 6, 8], []
66100, [2, 4, 6, 8], []
66200, [2, 4, 6, 8], []
66300, [2, 4, 6, 8], []
66400, [2, 4, 6, 8], []
66500, [2, 4, 6, 8], []
66600, [2, 4, 6, 8], []
66700, [2, 4, 6, 8], []
66800, [2, 4, 6, 8], []
66900, [2, 4, 6, 8], []
67000, [2, 4, 6, 8], []
67100, [2, 4, 6, 8], []
67200, [2, 4, 6, 8], []
67300, [2, 4, 6, 8], []
67400, [2, 4, 6, 8], []
67600, [2, 4, 6, 8], []
67600, [2, 4, 6, 8], []
67700, [2, 4, 6, 8], []
67800, [2, 4, 6, 8], []
67900, [2, 4, 6, 8], []
68000, [2, 4, 6, 8], []
68100, [2, 4, 6, 8], []
68200, [2, 4, 6, 8], []
68300, [2, 4, 6, 8], []
68400, [2, 4, 6, 8], []
68500, [2, 4, 6, 8], []
68600, [2, 4, 6, 8], []
68700, [2, 4, 6, 8], []
68800, [2, 4, 6, 8], []
68900, [2, 4, 6, 8], []
69000, [2, 4, 6, 8], []
69100, [2, 4, 6, 8], []
69200, [2, 4, 6, 8], []
69400, [2, 4, 6, 8], []
69400, [2, 4, 6, 8], []
69500, [2, 4, 6, 8], []
69600, [2, 4, 6, 8], []
69700, [2, 4, 6, 8], []
69800, [2, 4, 6, 8], []
69900, [2, 4, 6, 8], []
70000, [2, 4, 6, 8], []
70100, [2, 4, 6, 8], []
70200, [2, 4, 6, 8], []
70300, [2, 4, 6, 8], []
70400, [2, 4, 6, 8], []
70500, [2, 4, 6, 8], []
70600, [2, 4, 6, 8], []
70700, [2, 4, 6, 8], []
70800, [2, 4, 6, 8], []
70900, [2, 4, 6, 8], []
71000, [2, 4, 6, 8], []
71100, [2, 4, 6, 8], []
71300, [2, 4, 6, 8], []
71400, [2, 4, 6, 8], []
71400, [2, 4, 6, 8], []
71600, [2, 4, 6, 8], []
71700, [2, 4, 6, 8], []
71700, [2, 4, 6, 8], []
71900, [2, 4, 6, 8], []
72000, [2, 4, 6, 8], []
72100, [2, 4, 6, 8], []
72200, [2, 4, 6, 8], []
72300, [2, 4, 6, 8], []
72300, [2, 4, 6, 8], []
72500, [2, 4, 6, 8], []
72600, [2, 4, 6, 8], []
72700, [2, 4, 6, 8], []
72800, [2, 4, 6, 8], []
72900, [2, 4, 6, 8], []
72900, [2, 4, 6, 8], []
73100, [2, 4, 6, 8], []
73200, [2, 4, 6, 8], []
73300, [2, 4, 6, 8], []
73400, [2, 4, 6, 8], []
73500, [2, 4, 6, 8], []
73600, [2, 4, 6, 8], []
73700, [2, 4, 6, 8], []
73800, [2, 4, 6, 8], []
73900, [2, 4, 6, 8], []
74000, [2, 4, 6, 8], []
74100, [2, 4, 6, 8], []
74200, [2, 4, 6, 8], []
74300, [2, 4, 6, 8], []
74400, [2, 4, 6, 8], []
74500, [2, 4, 6, 8], []
74600, [2, 4, 6, 8], []
74700, [2, 4, 6, 8], []
74800, [2, 4, 6, 8], []
74900, [2, 4, 6, 8], []
75000, [2, 4, 6, 8], []
75100, [2, 4, 6, 8], []
75100, [2, 4, 6, 8], []
75300, [2, 4, 6, 8], []
75400, [2, 4, 6, 8], []
75500, [2, 4, 6, 8], []
75600, [2, 4, 6, 8], []
75700, [2, 4, 6, 8], []
75800, [2, 4, 6, 8], []
75900, [2, 4, 6, 8], []
76000, [2, 4, 6, 8], []
76100, [2, 4, 6, 8], []
76200, [2, 4, 6, 8], []
76300, [2, 4, 6, 8], []
76300, [2, 4, 6, 8], []
76500, [2, 4, 6, 8], []
76600, [2, 4, 6, 8], []
76700, [2, 4, 6, 8], []
76800, [2, 4, 6, 8], []
76900, [2, 4, 6, 8], []
77000, [2, 4, 6, 8], []
77100, [2, 4, 6, 8], []
77200, [2, 4, 6, 8], []
77300, [2, 4, 6, 8], []
77400, [2, 4, 6, 8], []
77500, [2, 4, 6, 8], []
77600, [2, 4, 6, 8], []
77700, [2, 4, 6, 8], []
77800, [2, 4, 6, 8], []
77900, [2, 4, 6, 8], []
78000, [2, 4, 6, 8], []
78100, [2, 4, 6, 8], []
78200, [2, 4, 6, 8], []
78300, [2, 4, 6, 8], []
78400, [2, 4, 6, 8], []
78500, [2, 4, 6, 8], []
78600, [2, 4, 6, 8], []
78700, [2, 4, 6, 8], []
78800, [2, 4, 6, 8], []
78900, [2, 4, 6, 8], []
79000, [2, 4, 6, 8], []
79100, [2, 4, 6, 8], []
79200, [2, 4, 6, 8], []
79300, [2, 4, 6, 8], []
79400, [2, 4, 6, 8], []
79500, [2, 4, 6, 8], []
79600, [2, 4, 6, 8], []
79700, [2, 4, 6, 8], []
79800, [2, 4, 6, 8], []
79900, [2, 4, 6, 8], []
80000, [2, 4, 6, 8], []
80100, [2, 4, 6, 8], []
80200, [2, 4, 6, 8], []
80300, [2, 4, 6, 8], []
80400, [2, 4, 6, 8], []
80500, [2, 4, 6, 8], []
80600, [2, 4, 6, 8], []
80700, [2, 4, 6, 8], []
80800, [2, 4, 6, 8], []
80900, [2, 4, 6, 8], []
81000, [2, 4, 6, 8], []
81100, [2, 4, 6, 8], []
81200, [2, 4, 6, 8], []
81300, [2, 4, 6, 8], []
81400, [2, 4, 6, 8], []
81500, [2, 4, 6, 8], []
81600, [2, 4, 6, 8], []
81700, [2, 4, 6, 8], []
81700, [2, 4, 6, 8], []
81900, [2, 4, 6, 8], []
82000, [2, 4, 6, 8], []
82100, [2, 4, 6, 8], []
82200, [2, 4, 6, 8], []
82300, [2, 4, 6, 8], []
82400, [2, 4, 6, 8], []
82500, [2, 4, 6, 8], []
82600, [2, 4, 6, 8], []
82700, [2, 4, 6, 8], []
82800, [2, 4, 6, 8], []
82900, [2, 4, 6, 8], []
83000, [2, 4, 6, 8], []
83100, [2, 4, 6, 8], []
83200, [2, 4, 6, 8], []
83300, [2, 4, 6, 8], []
83400, [2, 4, 6, 8], []
83500, [2, 4, 6, 8], []
83600, [2, 4, 6, 8], []
83700, [2, 4, 6, 8], []
83800, [2, 4, 6, 8], []
83900, [2, 4, 6, 8], []
84000, [2, 4, 6, 8], []
84100, [2, 4, 6, 8], []
84200, [2, 4, 6, 8], []
84300, [2, 4, 6, 8], []
84400, [2, 4, 6, 8], []
84500, [2, 4, 6, 8], []
84600, [2, 4, 6, 8], []
84700, [2, 4, 6, 8], []
84800, [2, 4, 6, 8], []
84900, [2, 4, 6, 8], []
85000, [2, 4, 6, 8], []
85100, [2, 4, 6, 8], []
85200, [2, 4, 6, 8], []
85300, [2, 4, 6, 8], []
85400, [2, 4, 6, 8], []
85500, [2, 4, 6, 8], []
85600, [2, 4, 6, 8], []
85700, [2, 4, 6, 8], []
85800, [2, 4, 6, 8], []
85900, [2, 4, 6, 8], []
86000, [2, 4, 6, 8], []
86100, [2, 4, 6, 8], []
86200, [2, 4, 6, 8], []
86300, [2, 4, 6, 8], []
86400, [2, 4, 6, 8], []
86500, [2, 4, 6, 8], []
86600, [2, 4, 6, 8], []
86700, [2, 4, 6, 8], []
86800, [2, 4, 6, 8], []
86900, [2, 4, 6, 8], []
87000, [2, 4, 6, 8], []
87100, [2, 4, 6, 8], []
87200, [2, 4, 6, 8], []
87200, [2, 4, 6, 8], []
87400, [2, 4, 6, 8], []
87500, [2, 4, 6, 8], []
87600, [2, 4, 6, 8], []
87700, [2, 4, 6, 8], []
87800, [2, 4, 6, 8], []
87900, [2, 4, 6, 8], []
88000, [2, 4, 6, 8], []
88100, [2, 4, 6, 8], []
88200, [2, 4, 6, 8], []
88300, [2, 4, 6, 8], []
88400, [2, 4, 6, 8], []
88500, [2, 4, 6, 8], []
88600, [2, 4, 6, 8], []
88700, [2, 4, 6, 8], []
88800, [2, 4, 6, 8], []
88900, [2, 4, 6, 8], []
89000, [2, 4, 6, 8], []
89100, [2, 4, 6, 8], []
89200, [2, 4, 6, 8], []
89300, [2, 4, 6, 8], []
89400, [2, 4, 6, 8], []
89500, [2, 4, 6, 8], []
89500, [2, 4, 6, 8], []
89700, [2, 4, 6, 8], []
89800, [2, 4, 6, 8], []
89800, [2, 4, 6, 8], []
90000, [2, 4, 6, 8], []
90100, [2, 4, 6, 8], []
90200, [2, 4, 6, 8], []
90300, [2, 4, 6, 8], []
90400, [2, 4, 6, 8], []
90500, [2, 4, 6, 8], []
90600, [2, 4, 6, 8], []
90700, [2, 4, 6, 8], []
90800, [2, 4, 6, 8], []
90900, [2, 4, 6, 8], []
91000, [2, 4, 6, 8], []
91100, [2, 4, 6, 8], []
91200, [2, 4, 6, 8], []
91300, [2, 4, 6, 8], []
91400, [2, 4, 6, 8], []
91500, [2, 4, 6, 8], []
91600, [2, 4, 6, 8], []
91700, [2, 4, 6, 8], []
91800, [2, 4, 6, 8], []
91900, [2, 4, 6, 8], []
92000, [2, 4, 6, 8], []
92100, [2, 4, 6, 8], []
92200, [2, 4, 6, 8], []
92300, [2, 4, 6, 8], []
92400, [2, 4, 6, 8], []
92500, [2, 4, 6, 8], []
92600, [2, 4, 6, 8], []
92700, [2, 4, 6, 8], []
92800, [2, 4, 6, 8], []
92900, [2, 4, 6, 8], []
93000, [2, 4, 6, 8], []
93100, [2, 4, 6, 8], []
93200, [2, 4, 6, 8], []
93300, [2, 4, 6, 8], []
93400, [2, 4, 6, 8], []
93500, [2, 4, 6, 8], []
93600, [2, 4, 6, 8], []
93700, [2, 4, 6, 8], []
93800, [2, 4, 6, 8], []
93900, [2, 4, 6, 8], []
94000, [2, 4, 6, 8], []
94100, [2, 4, 6, 8], []
94200, [2, 4, 6, 8], []
94200, [2, 4, 6, 8], []
94400, [2, 4, 6, 8], []
94500, [2, 4, 6, 8], []
94600, [2, 4, 6, 8], []
94700, [2, 4, 6, 8], []
94800, [2, 4, 6, 8], []
94900, [2, 4, 6, 8], []
95000, [2, 4, 6, 8], []
95100, [2, 4, 6, 8], []
95200, [2, 4, 6, 8], []
95300, [2, 4, 6, 8], []
95400, [2, 4, 6, 8], []
95500, [2, 4, 6, 8], []
95600, [2, 4, 6, 8], []
95700, [2, 4, 6, 8], []
95800, [2, 4, 6, 8], []
95900, [2, 4, 6, 8], []
96000, [2, 4, 6, 8], []
96100, [2, 4, 6, 8], []
96200, [2, 4, 6, 8], []
96300, [2, 4, 6, 8], []
96400, [2, 4, 6, 8], []
96500, [2, 4, 6, 8], []
96600, [2, 4, 6, 8], []
96700, [2, 4, 6, 8], []
96800, [2, 4, 6, 8], []
96900, [2, 4, 6, 8], []
97000, [2, 4, 6, 8], []
97100, [2, 4, 6, 8], []
97200, [2, 4, 6, 8], []
97300, [2, 4, 6, 8], []
97400, [2, 4, 6, 8], []
97500, [2, 4, 6, 8], []
97600, [2, 4, 6, 8], []
97700, [2, 4, 6, 8], []
97800, [2, 4, 6, 8], []
97900, [2, 4, 6, 8], []
98000, [2, 4, 6, 8], []
98100, [2, 4, 6, 8], []
98200, [2, 4, 6, 8], []
98300, [2, 4, 6, 8], []
98400, [2, 4, 6, 8], []
98500, [2, 4, 6, 8], []
98600, [2, 4, 6, 8], []
98700, [2, 4, 6, 8], []
98800, [2, 4, 6, 8], []
98900, [2, 4, 6, 8], []
99000, [2, 4, 6, 8], []
99100, [2, 4, 6, 8], []
99200, [2, 4, 6, 8], []
99300, [2, 4, 6, 8], []
99400, [2, 4, 6, 8], []
99500, [2, 4, 6, 8], []
99600, [2, 4, 6, 8], []
99700, [2, 4, 6, 8], []
99700, [2, 4, 6, 8], []
